Checkee_CaseId,VisaType,ApplicationDate,ClearanceDate,Consulate,Major,ApplicationStatus
153738,F1,2013-06-17,2013-08-07,BeiJing,Physics,Clear
135449,J1,2013-06-27,2013-08-21,BeiJing,Materials Science and Eng,Clear
75581,F1,2013-01-08,2013-01-23,ShenYang,Electrical Engineering,Clear
159230,J1,2013-06-27,2013-08-23,ChengDu,EE,Clear
140451,F1,2013-05-30,2013-07-29,ShangHai,chemistry,Clear
124517,H1,2013-06-03,2013-07-12,Ottawa,Epidemiology,Clear
129866,F1,2013-06-03,2013-07-10,BeiJing,civil engineering,Clear
140453,F1,2013-06-19,2013-08-19,BeiJing,EE,Clear
159401,F1,2013-06-27,2013-08-20,ShangHai,BIO,Clear
140026,J1,2013-05-30,2013-08-14,ShangHai,EE,Clear
143612,F1,2013-06-13,2013-08-20,ShangHai,am,Clear
130592,F1,2013-06-03,2013-07-25,BeiJing,Biomedical Engineering,Clear
147767,F1,2013-06-19,2013-08-13,BeiJing,Applied Physics,Clear
254107,J1,2013-12-16,2014-01-03,ShangHai,Materials Science,Clear
138220,F1,2013-06-19,2013-08-19,BeiJing,Mechanical Engineering,Clear
146473,F1,2013-07-05,2013-08-12,BeiJing,Computer Engineering,Clear
107020,F1,2013-05-08,2013-05-22,Others,Communication management,Clear
163159,B2,2013-07-15,2013-09-17,ShangHai,n/a,Clear
192752,F1,2013-09-10,2013-10-22,ShangHai,EE,Clear
161566,J1,2013-07-26,,ShenYang,medical image processing,Pending
130218,F1,2013-05-30,2013-07-12,BeiJing,Aerospace,Clear
255752,H1,2013-12-18,2014-01-06,ChengDu,EE,Clear
72786,J1,2012-12-18,2013-01-08,BeiJing,EE,Clear
71741,F1,2012-12-18,2013-01-14,BeiJing,ECE,Clear
70435,J1,2012-12-18,2013-01-03,BeiJing,civil engineering,Clear
150318,F1,2013-07-08,2013-08-16,ShangHai,EE,Clear
49709,B1,2012-09-07,2012-09-29,ShangHai,"CS, Information Security",Clear
146866,F1,2013-06-19,2013-08-22,BeiJing,Public Health,Clear
161306,B2,2013-08-06,2013-09-23,BeiJing,Biomedical Sciences,Clear
228247,J1,2013-10-18,2013-11-13,ShangHai,biology,Clear
43638,F1,2012-08-07,2012-08-28,BeiJing,ChE,Clear
159332,J1,2013-08-08,2013-08-29,GuangZhou,,Clear
178831,J1,2013-09-10,2013-10-18,BeiJing,biology,Clear
232154,H1,2013-10-09,2014-01-28,Toronto,MASTERS IN ELECTRICAL ENG,Clear
40969,F1,2012-08-07,2012-08-24,BeiJing,Mechanical Engineering,Clear
232153,H1,2013-10-10,2013-11-15,BeiJing,Chemical Engineering,Clear
254096,F1,2013-12-09,2014-01-03,BeiJing,CS,Clear
43430,F1,2012-08-16,2012-09-04,BeiJing,Chemistry,Clear
192061,H1,2013-09-11,2013-11-07,Toronto,Mechanical Engineering,Clear
191786,F1,2013-09-03,2013-10-11,ShangHai,material,Clear
168970,F1,2013-08-07,2013-08-28,ShangHai,MSE,Clear
180630,B1,2013-09-10,,ShenYang,chemistry,Pending
193597,J2,2013-09-04,2013-10-15,GuangZhou,Bioengineering,Clear
180535,L1,2013-09-10,2013-10-11,BeiJing,EE,Clear
259247,F1,2013-12-23,2014-01-07,BeiJing,computer science,Clear
189478,H1,2013-09-03,2013-10-17,GuangZhou,CS,Clear
179597,F1,2013-09-04,2013-10-11,ShangHai,Chemistry,Clear
261622,F1,2013-12-16,2013-12-27,ShangHai,ME,Clear
185003,H1,2013-09-16,2013-10-25,ShenYang,Biochemistry,Clear
